ReleaseDate,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
10/31/17,48425,Somervell County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48427,Starr County,TX,3.73,96.27,37.3,0,0,0,10/31/17,11/6/17
10/31/17,48429,Stephens County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48431,Sterling County,TX,78.34,21.66,0,0,0,0,10/31/17,11/6/17
10/31/17,48433,Stonewall County,TX,82.62,17.38,0,0,0,0,10/31/17,11/6/17
10/31/17,48435,Sutton County,TX,6.2,93.8,0,0,0,0,10/31/17,11/6/17
10/31/17,48437,Swisher County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48439,Tarrant County,TX,16.22,83.78,0,0,0,0,10/31/17,11/6/17
10/31/17,48441,Taylor County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48443,Terrell County,TX,9.39,90.61,0,0,0,0,10/31/17,11/6/17
10/31/17,48445,Terry County,TX,23.43,76.57,0,0,0,0,10/31/17,11/6/17
10/31/17,48447,Throckmorton County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48449,Titus County,TX,0,100,15.19,0,0,0,10/31/17,11/6/17
10/31/17,48451,Tom Green County,TX,29.59,70.41,0,0,0,0,10/31/17,11/6/17
10/31/17,48453,Travis County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48455,Trinity County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48457,Tyler County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48459,Upshur County,TX,0,100,30.98,0,0,0,10/31/17,11/6/17
10/31/17,48461,Upton County,TX,0.04,99.96,0,0,0,0,10/31/17,11/6/17
10/31/17,48463,Uvalde County,TX,98.1,1.9,0,0,0,0,10/31/17,11/6/17
10/31/17,48465,Val Verde County,TX,98.83,1.17,0,0,0,0,10/31/17,11/6/17
10/31/17,48467,Van Zandt County,TX,0.35,99.65,0,0,0,0,10/31/17,11/6/17
10/31/17,48469,Victoria County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48471,Walker County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48473,Waller County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48475,Ward County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48477,Washington County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48479,Webb County,TX,98.61,1.39,0,0,0,0,10/31/17,11/6/17
10/31/17,48481,Wharton County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48483,Wheeler County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48485,Wichita County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48487,Wilbarger County,TX,94.87,5.13,0,0,0,0,10/31/17,11/6/17
10/31/17,48489,Willacy County,TX,33.84,66.16,12.03,0,0,0,10/31/17,11/6/17
10/31/17,48491,Williamson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48493,Wilson County,TX,98.2,1.8,0,0,0,0,10/31/17,11/6/17
10/31/17,48495,Winkler County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48497,Wise County,TX,60.61,39.39,0,0,0,0,10/31/17,11/6/17
10/31/17,48499,Wood County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48501,Yoakum County,TX,86.48,13.52,0,0,0,0,10/31/17,11/6/17
10/31/17,48503,Young County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48505,Zapata County,TX,66.82,33.18,0,0,0,0,10/31/17,11/6/17
10/31/17,48507,Zavala County,TX,100,0,0,0,0,0,10/31/17,11/6/17
